city,city_encoded,station,lat,lon,timestamp,pm25,NO2,SO2,CO,PM10,road_density,temperature,humidity,wind_speed,wind_deg,hour,day_of_year,month,date,cluster,zone,aqi_category,aqi_color
Delhi,2,Anand Vihar,28.6469,77.316,2019-01-01 00:00:00,518.39,83.82,18.53,4.41,613.38,10,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Wazirpur,28.7041,77.167,2019-01-01 00:00:00,482.23,83.82,18.53,4.41,613.38,9,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,ITO,28.6289,77.2409,2019-01-01 00:00:00,459.54,83.82,18.53,4.41,613.38,10,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Shadipur,28.6517,77.1477,2019-01-01 00:00:00,457.25,83.82,18.53,4.41,613.38,7,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Punjabi Bagh,28.6742,77.1311,2019-01-01 00:00:00,407.92,83.82,18.53,4.41,613.38,8,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Rohini,28.7495,77.068,2019-01-01 00:00:00,391.92,83.82,18.53,4.41,613.38,6,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Okhla,28.5501,77.27,2019-01-01 00:00:00,423.51,83.82,18.53,4.41,613.38,8,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,RK Puram,28.5651,77.1835,2019-01-01 00:00:00,399.18,83.82,18.53,4.41,613.38,7,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Mandir Marg,28.6353,77.201,2019-01-01 00:00:00,355.65,83.82,18.53,4.41,613.38,6,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Dwarka,28.5921,77.046,2019-01-01 00:00:00,357.45,83.82,18.53,4.41,613.38,7,8.8,84,2.43,279,0,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Anand Vihar,28.6469,77.316,2019-01-01 01:00:00,494.35,75.57,16.95,3.96,630.67,10,8.1,86,2.47,284,1,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Wazirpur,28.7041,77.167,2019-01-01 01:00:00,474.52,75.57,16.95,3.96,630.67,9,8.1,86,2.47,284,1,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,ITO,28.6289,77.2409,2019-01-01 01:00:00,450.73,75.57,16.95,3.96,630.67,10,8.1,86,2.47,284,1,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Shadipur,28.6517,77.1477,2019-01-01 01:00:00,384.44,75.57,16.95,3.96,630.67,7,8.1,86,2.47,284,1,1,1,2019-01-01,0,High,Severe,darkred
Delhi,2,Punjabi Bagh,28.6742,77.1311,2019-01-01 01:00:00,377.34,75.57,16.95,3.96,630.67,8,8.1,86,2.47,284,1,1,1,2019-01-01,0,High,Severe,darkred
